question_id,source,generated_question,correct_answer
214,IA_9.pdf_p4,"Is Knowledge a product , not a process ( like intelligence ) , so it can be provided ready-made to the computer ?","Knowledge is a product, not a process (like intelligence), so it can be provided ready-made to the computer."
215,IA_9.pdf_p4,"Is Knowledge built on facts , heuristics and intuition and can change ?","Knowledge is built on facts, heuristics and intuition and can change."
217,IA_9.pdf_p4,Is example chatbot templates and the Turing test ?,Example is chatbot templates and the Turing test.
221,IA_9.pdf_p6,Are nodes concepts ?,Nodes are concepts.
223,IA_9.pdf_p6,Are relations semantic ?,Relations are semantic.
225,IA_9.pdf_p6,Is greek taxis ( arrangement ) nomia ( method )?,Greek is taxis (arrangement) nomia (method)
232,IA_9.pdf_p7,"Is x IS-A Y X is a specific type of Y , with additional properties?","X IS-A Y is X is a specific type of Y, with additional properties"
233,IA_9.pdf_p7,"Is ● Symmetry if a bear IS-A mammal , a mammal IS-A bear ??","● Symmetry is if a bear IS-A mammal, a mammal IS-A bear?"
234,IA_9.pdf_p7,Is ● Reflexivity bear IS-A bear ??,● Reflexivity is bear IS-A bear?
235,IA_9.pdf_p7,"Is ● Transitivity if a black bear IS-A bear and a bear IS-A mammal , a?","● Transitivity is if a black bear IS-A bear and a bear IS-A mammal, a"
236,IA_9.pdf_p7,Is ● Connectivity cat IS-A bear or bear IS-A cat ??,● Connectivity is cat IS-A bear or bear IS-A cat?
240,IA_9.pdf_p8,Is how adaptable a taxonomy to new knowledge ??,How adaptable is a taxonomy to new knowledge?
248,IA_9.pdf_p10,Is a type reference Fluffy the cat Ending point ??,a type reference is Fluffy the cat Ending point ?
253,IA_9.pdf_p11,Is referential network part of a semantic network?,Referential network is part of a semantic network
254,IA_9.pdf_p11,Is event defined as a set of relations with?,Event is defined as a set of relations with
258,IA_9.pdf_p12,Is eating agent ( Fluffy ) object ( ? x )?,Eating is agent (Fluffy) object (?x)
261,IA_9.pdf_p13,Is daemons procedures used to?,Daemons is procedures used to
264,IA_9.pdf_p14,Is ● Antonymy opposite meaning of good - bad?,● Antonymy is opposite meaning of good - bad
265,IA_9.pdf_p14,Is ● Hyponymy IS-A ( is a specific kind of… ) student - person?,● Hyponymy is IS-A (is a specific kind of…) student - person
266,IA_9.pdf_p14,Is ● Meronymy part of ( is structurally included in… ) head - student?,● Meronymy is part of (is structurally included in…) head - student
267,IA_9.pdf_p14,Is ● Troponymy identifies a manner of… whisper - speak?,● Troponymy is identifies a manner of… whisper - speak
268,IA_9.pdf_p14,Is ● Entailment identifies requirements divorce - marriage?,● Entailment is identifies requirements divorce - marriage
269,IA_9.pdf_p14,"Is ● Derivation related to , produced by product - factory?","● Derivation is related to, produced by product - factory"
273,IA_9.pdf_p16,Can we build complex structures ( ontologies ) using these triplets ?,We can build complex structures (ontologies) using these triplets.
274,IA_9.pdf_p16,"Is the complexity given by the size , local complexity is reduced ?","The complexity is given by the size, local complexity is reduced."
276,IA_9.pdf_p16,Can we extract complex knowledge from triplets/ontologies ?,We can extract complex knowledge from triplets/ontologies.
277,IA_9.pdf_p16,Is what the Relation between A and B ??,What is the Relation between A and B?
278,IA_9.pdf_p16,Is with whom A/B in Relation ??,With whom is A/B in Relation?
281,IA_9.pdf_p17,Is ontology attempt of a formal definition?,Ontology is attempt of a formal definition
283,IA_9.pdf_p18,Is ● I a set of inferences ( rules ) over the ontology performing changes to it ?,● I is a set of inferences (rules) over the ontology performing changes to it.
285,IA_9.pdf_p18,Is instance concept to which no other concept can be linked by IS-A ?,Instance is concept to which no other concept can be linked by IS-A.
287,IA_9.pdf_p19,Is most common format RDF?,Most common format is RDF
289,IA_9.pdf_p20,Is ontologies unlimited expressiveness?,Ontologies is unlimited expressiveness
296,IA_9.pdf_p22,Is semantic web current state?,Semantic web is current state
300,IA_9.pdf_p24,Is ● Semantic parasitism externally inferred semantics?,● Semantic parasitism is externally inferred semantics
301,IA_9.pdf_p24,Is metaphors is “ semantic parasitism ” something positive or?,Metaphors is is “semantic parasitism” something positive or
302,IA_9.pdf_p24,Is ● Semantic subjectivity different semantics for different contexts?,● Semantic subjectivity is different semantics for different contexts
310,IA_9.pdf_p27,Are other worlds the same as the real world ( same complexity and capabilities ) ?,Other worlds are the same as the real world (same complexity and capabilities).
312,IA_9.pdf_p27,Is Actual an index for the world it is uttered ?,Actual is an index for the world it is uttered.
313,IA_9.pdf_p27,Can possible worlds not be reduced to something more basic ?,Possible worlds cannot be reduced to something more basic.
315,IA_9.pdf_p27,Is Alternative Probabilistic reasoning?,Alternative is Probabilistic reasoning
327,IA_10.pdf_p5,Is example Virtual assistants?,Example is Virtual assistants
333,IA_10.pdf_p7,Is text analysis understand the meaning of a natural language message ?,Text analysis is understand the meaning of a natural language message.
334,IA_10.pdf_p7,Is text generation convey a meaning in natural language ?,Text generation is convey a meaning in natural language.
335,IA_10.pdf_p7,"Is other multimodal applications for example , sign language?","Other multimodal applications is for example, sign language"
337,IA_10.pdf_p8,Is text analysis morphological level?,Text analysis is morphological level
338,IA_10.pdf_p8,Is Morphology morpho = form?,Morphology is morpho = form
339,IA_10.pdf_p8,Is first step developing a vocabulary?,First step is developing a vocabulary
340,IA_10.pdf_p8,Is language is a dictionary enough ??,language is is a dictionary enough?
342,IA_10.pdf_p9,Are how many words in “ F.B.I. ” ??,How many words are in “F.B.I.”?
346,IA_10.pdf_p10,Is text analysis lexical level?,Text analysis is lexical level
347,IA_10.pdf_p10,Is Lexicology lexicos = of words?,Lexicology is lexicos = of words
358,IA_10.pdf_p13,Is text analysis syntactic level?,Text analysis is syntactic level
359,IA_10.pdf_p13,"Is Syntax syn - together , taxis - arrange?","Syntax is syn - together, taxis - arrange"
364,IA_10.pdf_p15,Is text analysis semantic level?,Text analysis is semantic level
365,IA_10.pdf_p15,Is Semantic semantikos - significant?,Semantic is semantikos - significant
369,IA_10.pdf_p17,Is text analysis discourse level?,Text analysis is discourse level
370,IA_10.pdf_p17,"Is Discourse discursus - running around , going over something?","Discourse is discursus - running around, going over something"
372,IA_10.pdf_p18,Have you to identify the target of the message ?,You have to identify the target of the message.
374,IA_10.pdf_p18,Is text analysis pragmatic level?,Text analysis is pragmatic level
375,IA_10.pdf_p18,Is pragmatics pragmatikos - fit for social activity?,Pragmatics is pragmatikos - fit for social activity
376,IA_10.pdf_p18,Is prosody tone and intonation matters ?,Prosody is tone and intonation matters.
377,IA_10.pdf_p19,"Have text generation : I knowledge , how do I communicate it ??","Text generation: I have knowledge, how do I communicate it?"
379,IA_10.pdf_p19,Have i ? x ? y ?,I have ?x ?y.
382,IA_10.pdf_p19,"Is text generation I have knowledge , how do I communicate it ??","Text generation is I have knowledge, how do I communicate it?"
383,IA_10.pdf_p19,"Is example systems RosaeNLG , SimpleNLG?","Example systems is RosaeNLG, SimpleNLG"
393,IA_10.pdf_p23,Is speech to text what is that human speaking ??,Speech to text is what is that human speaking?
394,IA_10.pdf_p23,Is phonemes sounds forming words ?,Phonemes is sounds forming words.
398,IA_10.pdf_p26,Is Multimodal NLP how else can I communicate ??,Multimodal NLP is how else can I communicate?
403,IA_4.pdf_p3,Is an assignment complete if it includes all variables ?,An assignment is complete if it includes all variables.
405,IA_4.pdf_p3,Are all constraints satisfied ?,all constraints are satisfied.
407,IA_4.pdf_p3,Is solution a complete assignment of values to variables s.t . all?,Solution is a complete assignment of values to variables s.t. all
408,IA_4.pdf_p3,Is MaxCSP maximize the number of satisfied constraints?,MaxCSP is maximize the number of satisfied constraints
410,IA_4.pdf_p4,Is example Map-Coloring?,Example is Map-Coloring
411,IA_4.pdf_p4,"Is variables WA , NT , Q , NSW , V , SA , T?","Variables is WA, NT, Q, NSW, V, SA, T"
412,IA_4.pdf_p4,"Is domains D = { red , green , blue }?","Domains is D = {red,green,blue}"
413,IA_4.pdf_p4,Is constraints adjacent regions must have different colors?,Constraints is adjacent regions must have different colors
414,IA_4.pdf_p5,Are example : Map-Coloring Solutions assignments satisfying all constraints ?,Example: Map-Coloring Solutions are assignments satisfying all constraints.
417,IA_4.pdf_p6,Is example N-Queens?,Example is N-Queens
418,IA_4.pdf_p6,"Is domains { 0,1 }?","Domains is {0,1}"
419,IA_4.pdf_p6,Is ( cid 80 )?,(cid is 80)
421,IA_4.pdf_p7,"Is domains { 1,2,3 , ... , N }?","Domains is {1,2,3,...,N}"
422,IA_4.pdf_p7,"Is Implicit ∀i , j non−threatening ( Q , Q )?","Implicit is ∀i,j non−threatening(Q ,Q )"
423,IA_4.pdf_p7,"Is Explicit ( Q , Q ) ∈ { ( 1,3 ) , ( 1,4 ) , ... } ..?","Explicit is (Q ,Q ) ∈ {(1,3),(1,4),...}..."
425,IA_4.pdf_p8,Is example Sudoku?,Example is Sudoku
426,IA_4.pdf_p8,"Is variables x ∈ { 1 , ... ,9 } = : N ( the values in the corresponding cells ) ;?","Variables is x ∈ {1,...,9} =: N (the values in the corresponding cells);"
427,IA_4.pdf_p8,"Is Pairwise inequality constraints all values in a row , column , subsquare are?","Pairwise inequality constraints is all values in a row, column, subsquare are"
430,IA_4.pdf_p9,Is example Cryptarithmetic puzzle?,Example is Cryptarithmetic puzzle
431,IA_4.pdf_p9,Is variables F T U W R O X X X?,Variables is F T U W R O X X X
432,IA_4.pdf_p9,"Is domains { 0,1,2,3,4,5,6,7,8,9 }?","Domains is {0,1,2,3,4,5,6,7,8,9}"
434,IA_4.pdf_p10,Is example Job-shop scheduling?,Example is Job-shop scheduling
435,IA_4.pdf_p10,"Is Tasks install axles ( front , back ) , affix wheels , tighten nuts for each?","Tasks is install axles (front, back), affix wheels, tighten nuts for each"
440,IA_4.pdf_p12,Is example timetable scheduling?,Example is timetable scheduling
442,IA_4.pdf_p13,"Is sets t ∈ T time , r ∈ R rooms , c ∈ C courses , s ∈ S students ,?","Sets is t ∈ T time, r ∈ R rooms, c ∈ C courses, s ∈ S students,"
444,IA_4.pdf_p13,Is variabiles x = t course c is scheduled at t?,Variabiles is x = t course c is scheduled at t
448,IA_4.pdf_p14,Is https //www.csplib.org/Problems/?,https is //www.csplib.org/Problems/
451,IA_4.pdf_p15,Is Unary involve a single variable?,Unary is involve a single variable
452,IA_4.pdf_p15,Is Binary involve pairs of variables?,Binary is involve pairs of variables
453,IA_4.pdf_p15,Is Binary CSP each constraint relates at most two variables?,Binary CSP is each constraint relates at most two variables
454,IA_4.pdf_p15,Is higher-order involve 3 or more variables?,Higher-order is involve 3 or more variables
457,IA_4.pdf_p16,"Is Constraint graph nodes are variables , arcs show constraints?","Constraint graph is nodes are variables, arcs show constraints"
461,IA_4.pdf_p18,"Is initial state the empty assignment , ∅?","Initial state is the empty assignment, ∅"
462,IA_4.pdf_p18,Is Successor function assign a value to an unassigned variable?,Successor function is assign a value to an unassigned variable
463,IA_4.pdf_p18,Is Goal test the current assignment is complete?,Goal test is the current assignment is complete
466,IA_4.pdf_p20,Is Backtracking the basic uninformed algorithm for CSPs ?,Backtracking is the basic uninformed algorithm for CSPs.
475,IA_4.pdf_p24,Should which variable be assigned next ??,Which variable should be assigned next?
476,IA_4.pdf_p24,Should in what order the values be verified ??,In what order should the values be verified?
485,IA_4.pdf_p26,Is Least constraining value choose the least constraining value?,Least constraining value is choose the least constraining value
486,IA_4.pdf_p26,Is example what value should we choose for Q ??,Example is what value should we choose for Q?
490,IA_4.pdf_p29,Is Idea update the domain of unassigned variables ( when a node is?,Idea is update the domain of unassigned variables (when a node is
497,IA_4.pdf_p35,Is there no propagation between unassigned variables !?,There is no propagation between unassigned variables!
500,IA_4.pdf_p36,"Is x → Y consistent iff for every value x of X there is some allowed y of Y FII , UAIC Lecture4 AI2025/2026 36/60?","X → Y is consistent iff for every value x of X there is some allowed y of Y FII,UAIC Lecture4 AI2025/2026 36/60"
501,IA_4.pdf_p36,"Is Arc consistency simplest form of propagation , makes each arc consistent ?","Arc consistency is simplest form of propagation, makes each arc consistent."
502,IA_4.pdf_p37,"Is x → Y consistent iff for every value x of X there is some allowed y of Y FII , UAIC Lecture4 AI2025/2026 37/60?","X → Y is consistent iff for every value x of X there is some allowed y of Y FII,UAIC Lecture4 AI2025/2026 37/60"
512,IA_4.pdf_p41,Is k-consistency any consistent assignment of k −1 variables can be?,k-consistency is any consistent assignment of k −1 variables can be
514,IA_4.pdf_p42,Is Backtracking backtracks to the first point where a variable can be?,Backtracking is backtracks to the first point where a variable can be
518,IA_4.pdf_p43,Is Idea Maintain a CONFLICT SET for every variable ( updated as we?,Idea is Maintain a CONFLICT SET for every variable (updated as we
520,IA_4.pdf_p44,Is example map coloring?,Example is map coloring
528,IA_4.pdf_p49,"Is example n = 80 , d = 2 , c = 20?","Example is n = 80, d = 2, c = 20"
531,IA_4.pdf_p50,"Is Theorem if the constraint graph has no cycles , the CSP can be solved in?","Theorem is if the constraint graph has no cycles, the CSP can be solved in"
541,IA_4.pdf_p52,Is Runtime c cutset size ( very fast for small c )?,Runtime is c cutset size (very fast for small c)
544,IA_4.pdf_p54,Is variable selection randomly select any conflicted variable?,Variable selection is randomly select any conflicted variable
548,IA_4.pdf_p56,Is example 4-Queens as a CSP?,Example is 4-Queens as a CSP
549,IA_4.pdf_p56,"Is variables Q , Q , Q , Q?","Variables is Q , Q , Q , Q"
550,IA_4.pdf_p56,"Is domains D = { 1,2,3,4 }?","Domains is D = {1,2,3,4}"
552,IA_4.pdf_p57,Is example 4-Queens?,Example is 4-Queens
553,IA_4.pdf_p57,Is states 4 queens in 4 columns ( 44 = 256 states )?,States is 4 queens in 4 columns (44 = 256 states)
554,IA_4.pdf_p57,Is operators move queen ( in the column )?,Operators is move queen (in the column)
555,IA_4.pdf_p57,Is Goal test no attacks?,Goal test is no attacks
556,IA_4.pdf_p57,Is evaluation h ( s ) = the number of attacks?,Evaluation is h(s) = the number of attacks
560,IA_4.pdf_p59,Can ▶ The constraint graph be used to analyse the problem structure ?,▶ The constraint graph can be used to analyse the problem structure.
561,IA_4.pdf_p59,Can tree-structured CSPs be solved in linear time ?,Tree-structured CSPs can be solved in linear time.
562,IA_4.pdf_p59,Is ▶ Iterative Min-conflicts usually effective in practice ?,▶ Iterative Min-conflicts is usually effective in practice.
564,IA_4.pdf_p59,Is states assignments of variables?,states is assignments of variables
571,IA_4.pdf_p60,"Is solvers CP Optimizer , OR-Tools?","Solvers is CP Optimizer, OR-Tools"
573,IA_1.pdf_p1,Is E-mail laura.cornei @ info.uaic.ro?,E-mail is laura.cornei@info.uaic.ro
574,IA_1.pdf_p1,Is E-mail ionut.pistol @ info.uaic.ro?,E-mail is ionut.pistol@info.uaic.ro
575,IA_1.pdf_p1,Is E-mail diana.trandabat @ info.uaic.ro?,E-mail is diana.trandabat@info.uaic.ro
576,IA_1.pdf_p1,Is E-mail madalina.raschip @ info.uaic.ro?,E-mail is madalina.raschip@info.uaic.ro
581,IA_1.pdf_p2,Are ● Grades given using the formula ROUND ( L * 0.4 + PP * 0.2 + E * 0.4 + B ) ?,● Grades are given using the formula ROUND(L*0.4 + PP*0.2 + E*0.4 + B).
584,IA_1.pdf_p4,Is CS221 Artificial Intelligence : Principles and Techniques?,CS221 is Artificial Intelligence: Principles and Techniques
586,IA_1.pdf_p5,"Is artificial Intelligence Wikipedia , Britannica , Merriam-Webster?","Artificial Intelligence is Wikipedia, Britannica, Merriam-Webster"
587,IA_1.pdf_p5,"Is intelligence Wikipedia , Britannica , Merriam-Webster?","Intelligence is Wikipedia, Britannica, Merriam-Webster"
590,IA_1.pdf_p8,Is this not AI?,This is not AI
592,IA_1.pdf_p9,Is ● Chinese room : using rules equivalent to understanding ??,● Chinese room: is using rules equivalent to understanding?
594,IA_1.pdf_p9,Is ● Turing test is an average human able to distinguish between a human?,● Turing test is is an average human able to distinguish between a human
595,IA_1.pdf_p9,Is ● Chinese room is using rules equivalent to understanding ??,● Chinese room is is using rules equivalent to understanding?
599,IA_1.pdf_p16,Is Connectionism vs computationalism : intelligent behaviour a consequence or a goal ??,Connectionism vs computationalism: is intelligent behaviour a consequence or a goal?
600,IA_1.pdf_p16,Is connectionism : intelligence a product of Computationalism : intelligence is a product structure of functions?,Connectionism: intelligence is a product of Computationalism: intelligence is a product structure of functions
601,IA_1.pdf_p16,Is Connectionism vs computationalism is intelligent?,Connectionism vs computationalism is is intelligent
602,IA_1.pdf_p16,Is connectionism intelligence is a product of Computationalism : intelligence is a product?,Connectionism is intelligence is a product of Computationalism: intelligence is a product
604,IA_1.pdf_p17,Is four perspectives on AI Acting humanly?,Four perspectives on AI is Acting humanly
605,IA_1.pdf_p17,"Is capabilities NLP , knowledge?","capabilities is NLP, knowledge"
606,IA_1.pdf_p17,Is ● Pro human intelligence is the?,● Pro is human intelligence is the
607,IA_1.pdf_p17,Is ● Cons bird flight is the best?,● Cons is bird flight is the best
609,IA_1.pdf_p18,Is four perspectives on AI Thinking humanly?,Four perspectives on AI is Thinking humanly
610,IA_1.pdf_p18,Is humans artificial “ brains ” -?,humans is artificial “brains” -
611,IA_1.pdf_p18,Is ● Pro easy to explain and?,● Pro is easy to explain and
612,IA_1.pdf_p18,Is ● Cons do we know how?,● Cons is do we know how
614,IA_1.pdf_p19,Is four perspectives on AI Thinking rationally?,Four perspectives on AI is Thinking rationally
615,IA_1.pdf_p19,"Is ● Pro Easy to replicate , easy to?","● Pro is Easy to replicate, easy to"
616,IA_1.pdf_p19,Is ● Cons Informal knowledge is?,● Cons is Informal knowledge is
619,IA_1.pdf_p20,Is four perspectives on AI Acting rationally?,Four perspectives on AI is Acting rationally
620,IA_1.pdf_p20,Is results rational agents with?,results is rational agents with
621,IA_1.pdf_p20,"Is ● Pro most useful results , most?","● Pro is most useful results, most"
622,IA_1.pdf_p20,Is ● Cons who defines the goals ??,● Cons is who defines the goals?
629,IA_1.pdf_p21,Is ● Reactive Machines AI produces an output based on the provided current?,● Reactive Machines is AI produces an output based on the provided current
630,IA_1.pdf_p21,"Is goal . Significant techniques rules ( deterministic or stochastic ) , neural?","goal. Significant techniques is rules (deterministic or stochastic), neural"
631,IA_1.pdf_p21,Is ● Limited Memory AI adapts using current experiences in order to improve?,● Limited Memory is AI adapts using current experiences in order to improve
633,IA_1.pdf_p21,"Is ● Theory of Mind AI capable of analyzing , processing and predicting the?","● Theory of Mind is AI capable of analyzing, processing and predicting the"
634,IA_1.pdf_p21,Is ● Self Aware AI capable of setting it ’ s own goals and changing its own?,● Self Aware is AI capable of setting it’s own goals and changing its own
637,IA_1.pdf_p24,"Should modeling An AI engine be able to describe , work with and output real-world data All models are lossy?","Modeling An AI engine should be able to describe, work with and output real-world data All models are lossy"
639,IA_1.pdf_p26,Should an AI engine be able to adapt it ’ s model for particular contexts What is learned is at best as good as the available data?,An AI engine should be able to adapt it’s model for particular contexts What is learned is at best as good as the available data
642,IA_1.pdf_p27,Is First approach state-based models?,First approach is state-based models
645,IA_1.pdf_p28,Is second approach variable-based models?,Second approach is variable-based models
648,IA_1.pdf_p29,Is weeks 2 and 3 State-based models?,Weeks 2 and 3 is State-based models
650,IA_1.pdf_p30,Is week 4 Constraint satisfaction problems?,Week 4 is Constraint satisfaction problems
653,IA_1.pdf_p32,Is weeks 6 Neural networks?,Weeks 6 is Neural networks
655,IA_1.pdf_p33,Is Weeks 6-7-10 Reinforcement learning?,Weeks 6-7-10 is Reinforcement learning
657,IA_1.pdf_p34,Is Weeks 9-11 Knowledge representation?,Weeks 9-11 is Knowledge representation
659,IA_1.pdf_p35,Is week 12 Bayesian networks?,Week 12 is Bayesian networks
661,IA_1.pdf_p36,Is week 13 Planning?,Week 13 is Planning
669,IA_11.pdf_p3,"Is example P ( Total = 11 ) = P ( ( 5,6 ) ) +P ( ( 6,5 ) ) = 1/36+1/36 = 1/18 ?","Example is P(Total = 11) = P((5,6))+P((6,5)) = 1/36+1/36 = 1/18."
672,IA_11.pdf_p4,Is example P ( doubles|Die = 5 ) = ?,Example is P(doubles|Die = 5) = .
