id,source,original_text,type
39,IA_8.pdf_p10,"Solve MDP FII,UAIC Lecture8 AI2025/2026 10/41",narrative
41,IA_8.pdf_p10,Use a table of probabilities is compute how often the result of an,diagram_extracted
42,IA_8.pdf_p11,Adaptive dynamic programming (ADP) 1.,narrative
43,IA_8.pdf_p11,"Learn the empiric model Example: FII,UAIC Lecture8 AI2025/2026 11/41",narrative
44,IA_8.pdf_p12,Adaptive dynamic programming 2.,narrative
45,IA_8.pdf_p12,Use dynamic programming to solve the MDP.,narrative
46,IA_8.pdf_p12,Enter the learned probabilities and rewards into the Bellman equations (fixed policy).,narrative
47,IA_8.pdf_p12,"(cid:88) Uπ(s) = R(s)+γ P(s′|s,π(s))Uπ(s′) s′ Solve the system of linear equations with the unknowns Uπ(s).",narrative
48,IA_8.pdf_p12,"ADP is inefficient if the state space is large ▶ system of linear equations of order n ▶ backgammon: 1020 equations with 1020 unknowns FII,UAIC Lecture8 AI2025/2026 12/41",narrative
49,IA_8.pdf_p12,(cid is 88),diagram_extracted
50,IA_8.pdf_p12,backgammon is equations with unknowns,diagram_extracted
51,IA_8.pdf_p13,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 13/41",narrative
55,IA_8.pdf_p14,"Model-free learning: Direct utility estimation ▶ The utility of a state is the total expected reward from that state forward (reward-to-go) Example: (1,1) ⇝(1,2) ⇝(1,3) ⇝(1,2) ⇝(1,3) ⇝ −.04 −.04 −.04 −.04 −.04 (2,3) ⇝(3,3) ⇝(4,3) −.04 −.04 +1 (1,1) ⇝(1,2) ⇝(1,3) ⇝(2,3) ⇝(3,3) ⇝ −.04 −.04 −.04 −.04 −.04 (3,2) ⇝(3,3) ⇝(4,3) −.04 −.04 +1 (1,1) ⇝(2,1) ⇝(3,1) ⇝(3,2) ⇝(4,2) −.04 −.04 −.04 −.04 −1 The first attempt produces: ▶ in state (1,1), total reward 0.72 (1 - .04 x 7) ▶ in state (1,2), two total rewards 0.76 and 0.84 ▶ in state (1,3) two total rewards 0.80 and 0.88 ▶ Estimated utility: mean of sampled values ▶ U(1,1) = 0.72, U(1,2) = 0.80, U(1,3) = 0.84 etc.",narrative
56,IA_8.pdf_p14,"FII,UAIC Lecture8 AI2025/2026 14/41",narrative
58,IA_8.pdf_p14,"Example is (1,1)",diagram_extracted
59,IA_8.pdf_p14,Estimated utility is mean of sampled values,diagram_extracted
60,IA_8.pdf_p15,Direct utility estimation ▶ Assume utilities are independent (false).,narrative
61,IA_8.pdf_p15,"It doesn’t take into account that the utility of a state depends on the utilities of next states (the constraints given by the Bellman equations) (cid:88) Uπ(s) = R(s)+γ P(s′|s,π(s))Uπ(s′) s′ ▶ search in a much larger space ▶ convergence is very slow ▶ Have all episodes before FII,UAIC Lecture8 AI2025/2026 15/41",narrative
63,IA_8.pdf_p16,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 16/41",narrative
67,IA_8.pdf_p17,"Temporal-Difference learning ▶ Combines the advantages of Adaptive Dynamic Programming and Direct utility estimation ▶ approximately satisfy the Bellman equations ▶ update only the directly affected states ▶ Goal: estimate utilities Uπ(s), given the episodes generated using policy π.",narrative
68,IA_8.pdf_p17,Actions are decided by policy π.,narrative
69,IA_8.pdf_p17,▶ The utilities are adjusted after each observed transition.,narrative
70,IA_8.pdf_p17,"Example: ▶ After 1st trial: the estimates Uπ(1,3)=0.84,Uπ(2,3)=0.92.",narrative
71,IA_8.pdf_p17,"▶ 2nd trial: the transition (1,3)→(2,3).",narrative
72,IA_8.pdf_p17,"The constraint given by the Bellman equation requires the update of Uπ(1,3).",narrative
73,IA_8.pdf_p17,"FII,UAIC Lecture8 AI2025/2026 17/41",narrative
74,IA_8.pdf_p17,"Goal is estimate utilities Uπ(s), given the episodes generated using",diagram_extracted
75,IA_8.pdf_p17,"After 1st trial is the estimates Uπ(1,3)=0.84,Uπ(2,3)=0.92.",diagram_extracted
76,IA_8.pdf_p17,"2nd trial is the transition (1,3)→(2,3).",diagram_extracted
77,IA_8.pdf_p18,"Temporal-Difference learning ▶ The temporal difference equation uses the difference of utilities between successive states: Uπ(s) ← Uπ(s)+α(R(s)+γUπ(s′)−Uπ(s)) α learning rate The update involves only the successor s′, while the equilibrium conditions (Bellman eq.)",narrative
78,IA_8.pdf_p18,involve all possible next states.,narrative
79,IA_8.pdf_p18,"▶ The method applies a series of corrections to converge ▶ Obs: the method doesn’t need a transitions model to perform the updates FII,UAIC Lecture8 AI2025/2026 18/41",narrative
80,IA_8.pdf_p18,Obs is the method doesn’t need a transitions model to perform the,diagram_extracted
81,IA_8.pdf_p19,"Temporal difference learning: pseudocode Demo: https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_td.html FII,UAIC Lecture8 AI2025/2026 19/41",narrative
82,IA_8.pdf_p19,Temporal difference learning is pseudocode,diagram_extracted
83,IA_8.pdf_p19,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_td.html,diagram_extracted
84,IA_8.pdf_p20,"Temporal difference learning: example FII,UAIC Lecture8 AI2025/2026 20/41",narrative
85,IA_8.pdf_p20,Temporal difference learning is example,diagram_extracted
86,IA_8.pdf_p21,"Temporal-Difference learning ▶ The learning rate α determines the speed of convergence to the true utility ▶ The mean value of Uπ(s) will converge to the correct value ▶ many trials, sparse transitions occur rarely ▶ if α is a function which decreases as the no.",narrative
87,IA_8.pdf_p21,"of visits to a state increases, then Uπ(s) converges to the correct value ▶ α(n)=1/n or α(n)=1/(1+n)∈(0,1] FII,UAIC Lecture8 AI2025/2026 21/41",narrative
88,IA_8.pdf_p22,"Temporal differences learning vs. Adaptive dynamic programming ▶ TD needs no model, ADP is model-based ▶ TD use only the observed successor for updating and not all successors ▶ TD converges more slowly but performs simpler calculations ▶ TD can be seen as an approximation of ADP FII,UAIC Lecture8 AI2025/2026 22/41",narrative
89,IA_8.pdf_p23,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 23/41",narrative
93,IA_8.pdf_p24,Passive learning vs.,narrative
94,IA_8.pdf_p24,Active learning ▶ Passive agent has a fixed policy vs. the active agent must decide actions ▶ Passive agent learns (transition probabilities and) utilities and chooses optimal actions vs.,narrative
95,IA_8.pdf_p24,"The active agent updates its policy as it learns ▶ the goal is to learn the optimal policy ▶ but, the utility function is known approximately FII,UAIC Lecture8 AI2025/2026 24/41",narrative
96,IA_8.pdf_p25,"Exploitation vs. exploration Exploitation-exploration dilemma of the agent ▶ to maximize his utility, based on the current knowledge, or ▶ to improve his knowledge A compromise between ▶ exploitation ▶ the agent stops learning and executes the actions given by the policy ▶ exploration ▶ the agent learns by trying new actions is necessary.",narrative
97,IA_8.pdf_p25,"FII,UAIC Lecture8 AI2025/2026 25/41",narrative
98,IA_8.pdf_p26,"Exploitation-exploration dilemma: solutions ϵ-greedy method ▶ Let ϵ ∈ [0,1] ▶ The next action to be selected will be: ▶ a random action, with probability ϵ ▶ the optimal action, with probability 1−ϵ ▶ Implementation ▶ initially, ϵ=1 (exploration) ▶ when a learning episode ends, ϵ decreases (for ex.",narrative
99,IA_8.pdf_p26,"with 0.05) - the exploitation rate progressively increases ▶ ϵ never falls bellow a threshold, e.g.",narrative
100,IA_8.pdf_p26,"0.1 ▶ the agent always has a chance to explore, to avoid local optima FII,UAIC Lecture8 AI2025/2026 26/41",narrative
101,IA_8.pdf_p26,Exploitation-exploration dilemma is solutions,diagram_extracted
102,IA_8.pdf_p27,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 27/41",narrative
106,IA_8.pdf_p28,"Algorithm Q-Learning (Watkins, 1989) ▶ The Q-Learning algorithm learns an action-value function Q(s,a) (Q quality).",narrative
107,IA_8.pdf_p28,"Q(s,a) the value of using action a in state s. The relationship between utilities and Q values: U(s) = max Q(s,a) a ▶ The true equations at equilibrium when the Q values are correct (cid:88) Q(s,a) = R(s)+γ P(s′|s,a)max Q(s′,a′) a′ s′ These can be used in an iterative process that computes the exact Q values.",narrative
108,IA_8.pdf_p28,"FII,UAIC Lecture8 AI2025/2026 28/41",narrative
109,IA_8.pdf_p28,"The relationship between utilities and Q values is U(s) = max Q(s,a)",diagram_extracted
111,IA_8.pdf_p29,"Q-Learning algorithm ▶ A TD agent which learns a Q function does not need a probabilistic model P(s′|s,a) (model-free learning).",narrative
112,IA_8.pdf_p29,"▶ For each sample (s,a,s′,r), update the Q value.",narrative
113,IA_8.pdf_p29,"The update equation for TD Q-Learning: Q(s,a) = Q(s,a)+α(R(s)+γmax Q(s′,a′)−Q(s,a)) a′ (by executing action a in state s we reach the state s′) The learning coefficient α determines the speed of updating the estimates; usually, α ∈ (0,1) FII,UAIC Lecture8 AI2025/2026 29/41",narrative
114,IA_8.pdf_p30,"Q-Learning algorithm: pseudocode f exploration function ▶ Q-learning converges to an optimal policy ▶ Q-Learning is slower than ADP FII,UAIC Lecture8 AI2025/2026 30/41",narrative
115,IA_8.pdf_p30,Q-Learning algorithm is pseudocode,diagram_extracted
116,IA_8.pdf_p31,"Q-learning Example 1 Q(C,Stop)=?,Q(C,Go)=?",narrative
117,IA_8.pdf_p31,"Example 2 https://huggingface.co/learn/deep-rl-course/unit2/q-learning-example FII,UAIC Lecture8 AI2025/2026 31/41",narrative
118,IA_8.pdf_p31,https is //huggingface.co/learn/deep-rl-course/unit2/q-learning-example,diagram_extracted
119,IA_8.pdf_p32,"SARSA ▶ The update equation: Q(s,a) = Q(s,a)+α(R(s)+γQ(s′,a′)−Q(s,a)) (s′,a′) the pair (next state, next action) SARSA uses the TD approach: update the Q table after each step until the solution converges / max.",narrative
120,IA_8.pdf_p32,"▶ Example: Windy Gridworld http://www.incompleteideas.net/book/ebook/node64.html FII,UAIC Lecture8 AI2025/2026 32/41",narrative
121,IA_8.pdf_p32,SARSA uses the TD approach is update the Q table after each step,diagram_extracted
122,IA_8.pdf_p32,Example is Windy Gridworld,diagram_extracted
123,IA_8.pdf_p32,http is //www.incompleteideas.net/book/ebook/node64.html,diagram_extracted
124,IA_8.pdf_p33,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 33/41",narrative
128,IA_8.pdf_p34,"Deep Reinforcement Learning It uses a (deep) neural network to approximate the Q values ▶ input: a state output: an estimate of Q, for each possible action FII,UAIC Lecture8 AI2025/2026 34/41",narrative
129,IA_8.pdf_p34,input is a state,diagram_extracted
130,IA_8.pdf_p34,"output is an estimate of Q, for each possible action",diagram_extracted
131,IA_8.pdf_p35,"Deep Reinforcement Learning ▶ Consider the update equation of the Q values: Q(s,a) = Q(s,a)+α[r +γmax Q(s′,a′)−Q(s,a)] a′ = (1−α)Q(s,a)+α[r +γmax Q(s′,a′)] a′ ▶ The loss function: the mean squared error of the predicted Q value and the target value Q∗ (not known).",narrative
132,IA_8.pdf_p35,"Minimize loss(s,a,s′) = (Q(s,a)−target(s′))2, where the target value: target(s′) = r +γmax Q(s′,a′) a′ ▶ Use Gradient descent to optimize the loss function.",narrative
133,IA_8.pdf_p35,"Description: https://deeplearningmath.org/deep-reinforcement-learning.html Demo: https://cs.stanford.edu/people/karpathy/reinforcejs/ FII,UAIC Lecture8 AI2025/2026 35/41",narrative
134,IA_8.pdf_p35,The loss function is the mean squared error of the predicted Q value,diagram_extracted
135,IA_8.pdf_p35,"the target value is target(s′) = r +γmax Q(s′,a′)",diagram_extracted
136,IA_8.pdf_p35,Description is https://deeplearningmath.org/deep-reinforcement-learning.html,diagram_extracted
137,IA_8.pdf_p35,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/,diagram_extracted
138,IA_8.pdf_p36,Deep Q-learning Problems: ▶ the samples are correlated → the network cannot generalize ▶ target(s′) is an estimate → slow convergence/unstable alg.,narrative
139,IA_8.pdf_p36,"Solutions: ▶ ϵ-greedy policy ▶ experience replay: store the experiences (s,a,r,s′) and use them for training (mini-batch) FII,UAIC Lecture8 AI2025/2026 36/41",narrative
140,IA_8.pdf_p36,experience replay is store the experiences and use them for,diagram_extracted
141,IA_8.pdf_p37,"Double Deep Q-network ▶ the target value changes at each iteration; solution: a separate network to estimate the target value ▶ every C iterations, the parameters from the prediction network are copied to the target network FII,UAIC Lecture8 AI2025/2026 37/41",narrative
142,IA_8.pdf_p37,the target value changes at each iteration; solution is a separate,diagram_extracted
143,IA_8.pdf_p38,"Function approximation Uˆ (s) = θ f (s)+θ f (s)+...θ f (s) θ 1 1 2 2 n n f ,...f features 1 n RL learn values for the parameters θ = θ ,...θ s.t the evaluation 1 n function Uˆ approximates the true utility function.",narrative
144,IA_8.pdf_p38,"θ ▶ updates the parameters after each trial ▶ use an error function and compute the gradients E (s) = (Uˆ (s)−u (s))2/2 j θ j u (s) the observed total reward from state s in trial j j δE (s) δUˆ (s) θ ← θ −α j = θ +α(u (s)−Uˆ (s)) θ i i i j θ δθ δθ i i ▶ good generalization (visited states → unvisited states) FII,UAIC Lecture8 AI2025/2026 38/41",narrative
145,IA_8.pdf_p39,"Content Introduction Passive learning Model-based learning: Adaptive dynamic programming Model-free learning: Direct utility estimation Model-free learning: Temporal-Difference learning Active learning Q-learning Deep Q-learning Conclusions FII,UAIC Lecture8 AI2025/2026 39/41",narrative
149,IA_8.pdf_p40,"Conclusions ▶ Reinforcement learning is necessary for agents that evolve in unfamiliar environments ▶ Passive learning evaluates a given policy ▶ Active learning learns an optimal policy FII,UAIC Lecture8 AI2025/2026 40/41",narrative
150,IA_8.pdf_p41,Bibliography ▶ Artificial Intelligence: A modern Approach.,narrative
151,IA_8.pdf_p41,Reinforcement Learning ▶ Sutton&Barto.,narrative
152,IA_8.pdf_p41,"An introduction http://incompleteideas.net/book/RLbook2020.pdf FII,UAIC Lecture8 AI2025/2026 41/41",narrative
153,IA_8.pdf_p41,Artificial Intelligence is A modern Approach. Ch. 21. Reinforcement,diagram_extracted
154,IA_8.pdf_p41,http is //incompleteideas.net/book/RLbook2020.pdf,diagram_extracted
155,IA_3.pdf_p1,"Artificial Intelligence 3rd year, 1st semester State based models for decision problems Week 3: informed strategies and alternative problem spaces “In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing.” Theodore Roosevelt",narrative
156,IA_3.pdf_p1,Week 3 is informed strategies and alternative problem spaces,diagram_extracted
157,IA_3.pdf_p2,Let’s find a NP-complete problem and a computer able to solve it Problem: finding a path in a graph Describing a model - reducing a problem • describe a state • identify special states and the problem space • describe the transitions and validate them • specify a search strategy,narrative
158,IA_3.pdf_p2,Problem is finding a path in a graph,diagram_extracted
159,IA_3.pdf_p3,Search strategies ● Uninformed - no distinction between states ○ Random ○ BFS and Uniform Cost ○ DFS and Iterative Deepening ○ Backtracking ○ Bidirectional ● Informed - heuristics to help distinguish between states ○ Greedy best-first ○ Hillclimbing and Simulated Annealing ○ Beam search ○ A* and IDA*,narrative
160,IA_3.pdf_p4,Common sense is as good as a mathematical proof.,narrative
161,IA_3.pdf_p4,Statistical proofs are hard to get and largely irrelevant.,narrative
162,IA_3.pdf_p4,"Brute force (search) is great, but intelligence is faster.",narrative
163,IA_3.pdf_p5,Finding a relevant heuristic A heuristic should direct the search towards the goal.,narrative
164,IA_3.pdf_p5,"Heuristic: function applied to any state, returns extreme and opposing values for all initial state(s) and for at least one final state(s).",narrative
165,IA_3.pdf_p5,"h: S -> [min, max], h(IS) = min/max, h(FS) = max/min",narrative
166,IA_3.pdf_p5,"Heuristic is function applied to any state, returns extreme and",diagram_extracted
167,IA_3.pdf_p6,"Types of heuristics If h(IS) = max, h(FS) = 0, h is a distance.",narrative
168,IA_3.pdf_p6,"Below, h is a distance.",narrative
169,IA_3.pdf_p6,"If h(S) <= shortest_path(S,FS), h is admissible.",narrative
170,IA_3.pdf_p6,An admissible heuristic never overestimates the shortest path in the problem space between a state and the goal.,narrative
171,IA_3.pdf_p6,"If h(A) ≤ h(A,B) + h(B) if B is reachable from A, h is consistent.",narrative
172,IA_3.pdf_p6,Requiring that a node is included in a path (solution) should estimate at least as lengthy paths.,narrative
173,IA_3.pdf_p7,"Lets try finding a heuristic For Hanoi Towers: ● Number of pieces on the goal tower ● If starting tower is 1 and goal is n, sum of all values in a state ● ?",narrative
174,IA_3.pdf_p7,For Sliding Puzzle: ● Number of pieces placed correctly For chess: ● How many pieces I have - how many pieces has the opponent?,narrative
175,IA_3.pdf_p7,● A maximal value - number of moves available to the opponent?,narrative
176,IA_3.pdf_p7,"h should always be relatively easy to compute, good enough is enough",narrative
177,IA_3.pdf_p8,Three way of looking at solutions path in a graph path in a space heuristic function graph h(S) solution,narrative
178,IA_3.pdf_p9,Greedy (best-first) Evaluate all unexplored states accessible from the current state.,narrative
179,IA_3.pdf_p9,Select the unexplored state closer to the goal (best score according to a heuristic).,narrative
180,IA_3.pdf_p10,"Greedy evaluation Best case: gets you to the final state much quicker than DFS, ?",narrative
181,IA_3.pdf_p10,doesn’t guarantee optimal solution.,narrative
182,IA_3.pdf_p10,Worst case: DFS with bad choices.,narrative
183,IA_3.pdf_p10,Best case is gets you to the final,diagram_extracted
184,IA_3.pdf_p10,Worst case is DFS with bad,diagram_extracted
185,IA_3.pdf_p11,h(S) Hillclimbing Select one accessible state which is at least as close to the final state as the current one.,narrative
186,IA_3.pdf_p11,h is not a distance!,narrative
187,IA_3.pdf_p11,"h(IS) = min, h(FS) = max h(NewState) ≥ h(CurrentState) solution",narrative
188,IA_3.pdf_p12,h(S) Hillclimbing evaluation Best case: fastest general ?,narrative
189,IA_3.pdf_p12,Worst case: fails to find a solution (local optimum).,narrative
190,IA_3.pdf_p12,https://www.youtube.com/watch?v=j1H3jAAGlEA&l ist=PLUl4u3cNGP63gFHB6xb-kVBiQHYe_4hSi&in solution dex=4,narrative
191,IA_3.pdf_p12,Best case is fastest general,diagram_extracted
192,IA_3.pdf_p12,Worst case is fails to find a,diagram_extracted
193,IA_3.pdf_p12,https is //www.youtube.com/watch?v=j1H3jAAGlEA&l,diagram_extracted
194,IA_3.pdf_p13,"Hillclimbing Selection Algorithm eligible_neighbors = {}; For each state n reachable from current_state applying one valid transition If h(n)better than h(current_state) add n to eligible_neighbors; Select next_state from eligible_neighbors; Frequently used selections: ● First one found - most common ● Best one (greedy) ● All, in the order they were found, choosing next state available if stuck (hillclimbing-backtracking)",narrative
195,IA_3.pdf_p14,"Simulated annealing Hillclimbing, but allows choosing a state further away from the goal, with an ever decreasing probability the closer you get to the goal state.",narrative
196,IA_3.pdf_p14,No more local optimum.,narrative
197,IA_3.pdf_p14,Slower than hillclimbing.,narrative
198,IA_3.pdf_p14,http is //www.cse.iitm.ac.in/~vplab/courses/optimization/SA_SEL_SLIDES.pdf,diagram_extracted
199,IA_3.pdf_p15,Beam search BFS but only keeps in a sorted list best k visited states.,narrative
200,IA_3.pdf_p15,The list should be re-sorted and extra states removed after every new explored state.,narrative
201,IA_3.pdf_p15,Explores all states in the sorted list until the final state is found - should be first in the list.,narrative
202,IA_3.pdf_p15,Does not guarantee the optimum solution!,narrative
203,IA_3.pdf_p16,"A* and IDA* A* is mostly Dijkstra combined with Greedy, IDA* is informed IDDFS IDDFS explores nodes by distance from initial state d(S) A* explores nodes by d(S) + h(S), where h(S) is the estimated distance to the goal state (h has to be an admissible heuristic and a distance) Always chooses the unexplored state which is closest to both the initial state and the goal state.",narrative
204,IA_3.pdf_p16,https is //www.redblobgames.com/pathfinding/a-star/introduction.html,diagram_extracted
205,IA_3.pdf_p16,https is //adrianstoll.com/post/a-star-pathfinding-algorithm-animation/,diagram_extracted
206,IA_3.pdf_p17,"A* Algorithm Current_state = Initial_state; Best_score = maximum of h; Sorted_queue = {All neighbours of Current_state, with computed h+1 scores, marked as unexplored}; While the score of the first unexplored state S in Sorted_queue is lower than Best_score If S is a final state, Best_score = score of S; Mark S as explored; Add to Sorted_queue all its neighbours with computed h+d score and mark them unexplored; If a duplicate state appears in Sorted_queue, keep only the occurrence with lowest score and transfer explored status; Sort Sorted_queue; The optimal path is recovered from the last state updating Best_score and looking for explored neighbours with lower score up to the initial state.",narrative
207,IA_3.pdf_p18,A* Always finds the optimum A h(A) = 1 solution.,narrative
208,IA_3.pdf_p18,3 h(B) = 4 B,narrative
210,IA_3.pdf_p19,real = 4 5 Don’t stop when you find the goal state!,narrative
211,IA_3.pdf_p19,Keep looking until all 3 states with better scores have h(B) = 4 been explored.,narrative
212,IA_3.pdf_p19,real = 4 B,narrative
213,IA_3.pdf_p21,"Optimizing A* Consistent heuristic: h(A) ≤ h(A,B) + h(B) if B is reachable from A Simplified Memory Bounded A* ● Prunes (removes) states for which the path was more costly than estimated, up to a set number of states (memory bounded) ● Remembers costs of reaching pruned states from each explored state ● If solution is not found, recovers pruned states and explores them",narrative
214,IA_3.pdf_p21,"Consistent heuristic is h(A) ≤ h(A,B) + h(B) if B is reachable from A",diagram_extracted
215,IA_3.pdf_p22,Choose a strategy ● Do you want a solution quickly?,narrative
216,IA_3.pdf_p22,● Do you want the best solution?,narrative
217,IA_3.pdf_p22,● Do you want all solutions?,narrative
218,IA_3.pdf_p22,● How much do you know about the problem?,narrative
219,IA_3.pdf_p22,● Are you sure the state representation is good enough?,narrative
220,IA_3.pdf_p23,Non-deterministic problem space Stochastic: known possibilities and probabilities Non-deterministic: known possibilities Each transition has multiple possible outcomes AND-OR trees,narrative
221,IA_3.pdf_p23,Stochastic is known possibilities,diagram_extracted
222,IA_3.pdf_p23,Non-deterministic is known,diagram_extracted
223,IA_3.pdf_p24,"Partially observable problem space: you know what could happen after a transition, you don’t know what will happen after a transition.",narrative
224,IA_3.pdf_p24,Partially observable problem space is you know what could happen,diagram_extracted
225,IA_3.pdf_p25,Unknowable problem space: you don’t know what could happen after a transition,narrative
226,IA_3.pdf_p25,Unknowable problem space is you don’t know what could happen,diagram_extracted
227,IA_3.pdf_p26,Next week: Constraint satisfaction problems (Variable based models),narrative
