id,source,original_text,type
56,IA_8.pdf_p14,"ˆ Inv˘atare f˘ar˘a model: Estimarea direct˘a a utilit˘atii , , ▶ Utilitatea unei st˘ari este recompensa total˘a asteptat˘a de la acea stare , ˆınainte (reward-to-go) Exemplu: (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝ (2,3)−.04 ⇝(3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(2,3)−.04 ⇝(3,3)−.04 ⇝(3,2)−.04 ⇝ (3,3)−.04 ⇝(4,3)+1 (1,1)−.04 ⇝(2,1)−.04 ⇝(3,1)−.04 ⇝(3,2)−.04 ⇝(4,2)−1 Primaˆıncercare produce: ▶ starea (1,1) recompensa total˘a 0.72 (1 - .04 x 7) ▶ starea (1,2) dou˘a recompense totale 0.76 si 0.84 , ▶ starea (1,3) dou˘a recompense totale 0.80 si 0.88, ... , ▶ Utilitatea estimat˘a: media valorilor esantionate , ▶ U(1,1) = 0.72, U(1,2) = 0.80, U(1,3) = 0.84 etc.",narrative
57,IA_8.pdf_p14,"FII,UAIC Curs8 IA2025/2026 14/41",narrative
58,IA_8.pdf_p14,Inv˘atare f˘ar˘a model is Estimarea direct˘a a utilit˘atii,diagram_extracted
59,IA_8.pdf_p14,"Exemplu is ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝(1,2)−.04 ⇝(1,3)−.04 ⇝",diagram_extracted
60,IA_8.pdf_p14,Utilitatea estimat˘a is media valorilor esantionate,diagram_extracted
61,IA_8.pdf_p15,"Estimarea direct˘a a utilit˘atii , ▶ Presupune c˘a utilit˘atile sunt independente (fals).",narrative
62,IA_8.pdf_p15,", Nu tine cont de faptul c˘a utilitatea unei st˘ari depinde de utilit˘atile , , st˘arilor succesoare (constrˆangerile date de ecuatiile Bellman) , (cid:88) Uπ(s) = R(s)+γ P(s′|s,π(s))Uπ(s′) s′ ▶ c˘autareaˆıntr-un spatiu mult mai mare , ▶ convergenta este foarte lent˘a , ▶ Avem toate episoadele dinainte FII,UAIC Curs8 IA2025/2026 15/41",narrative
64,IA_8.pdf_p16,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 16/41",narrative
68,IA_8.pdf_p17,"ˆ Inv˘atarea diferentelor temporale (Temporal Differences) , , ▶ Combin˘a avantajele abord˘arilor Programarea dinamic˘a adaptiv˘a si , Estimarea direct˘a a utilit˘atii , ▶ satisface aproximativ ecuatiile Bellman , ▶ actualizeaz˘a doar st˘arile direct afectate ▶ Scopul: estimarea utilit˘atilor Uπ(s), date episoadele generate , utilizˆand politica π; actiunile sunt decise de politica π. , ▶ Utilit˘atile sunt ajustate dup˘a fiecare tranzitie observat˘a.",narrative
69,IA_8.pdf_p17,", , Exemplu: ▶ Dup˘a primaˆıncercare: estim˘arile Uπ(1,3)=0.84,Uπ(2,3)=0.92.",narrative
70,IA_8.pdf_p17,"▶ ˆIn a douaˆıncercare: tranzitia (1,3)→(2,3).",narrative
71,IA_8.pdf_p17,", Constrˆangerea dat˘a de ecuatia Bellman impune actualizarea Uπ(1,3).",narrative
72,IA_8.pdf_p17,", FII,UAIC Curs8 IA2025/2026 17/41",narrative
73,IA_8.pdf_p17,"Scopul is estimarea utilit˘atilor Uπ(s), date episoadele generate",diagram_extracted
74,IA_8.pdf_p17,"Dup˘a primaˆıncercare is estim˘arile Uπ(1,3)=0.84,Uπ(2,3)=0.92.",diagram_extracted
75,IA_8.pdf_p17,"a douaˆıncercare is tranzitia (1,3)→(2,3).",diagram_extracted
76,IA_8.pdf_p18,"ˆ Inv˘atarea diferentelor temporale , , ▶ Ecuatia diferentelor temporale utilizeaz˘a diferenta utilit˘atilorˆıntre , , , , st˘ari succesive: Uπ(s) ← Uπ(s)+α(R(s)+γUπ(s′)−Uπ(s)) α rata deˆınv˘atare , Actualizarea implic˘a doar starea urm˘atoare s′, pe cˆand conditiile de , echilibru (ec.",narrative
77,IA_8.pdf_p18,Bellman) implic˘a toate st˘arile urm˘atoare posibile.,narrative
78,IA_8.pdf_p18,"▶ Metoda aplic˘a o serie de corectii pentru a converge , ▶ Obs: metoda nu are nevoie de un model de tranzitii P pentru a , realiza actualiz˘arile FII,UAIC Curs8 IA2025/2026 18/41",narrative
79,IA_8.pdf_p18,Obs is metoda nu are nevoie de un model de tranzitii P pentru a,diagram_extracted
80,IA_8.pdf_p19,"Diferente temporale: pseudocod , Demo: https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_td.html FII,UAIC Curs8 IA2025/2026 19/41",narrative
81,IA_8.pdf_p19,Diferente temporale is pseudocod,diagram_extracted
82,IA_8.pdf_p19,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_td.html,diagram_extracted
83,IA_8.pdf_p20,"ˆ Inv˘atarea diferentelor temporale: exemplu , , FII,UAIC Curs8 IA2025/2026 20/41",narrative
84,IA_8.pdf_p20,Inv˘atarea diferentelor temporale is exemplu,diagram_extracted
85,IA_8.pdf_p21,"ˆ Inv˘atarea diferentelor temporale , , ▶ Rata deˆınv˘atare α determin˘a viteza de convergent˘a la utilitatea real˘a , , ▶ Valoarea medie a Uπ(s) va converge la valoarea corect˘a ▶ suficienteˆıncerc˘ari, tranzitiile rare apar rar , ▶ dac˘a α este o functie care scade pe m˘asur˘a ce nr.",narrative
86,IA_8.pdf_p21,"de vizit˘ari ale unei , st˘ari creste, atunci Uπ(s) converge la valoarea corect˘a , ▶ functia α(n)=1/n sau α(n)=1/(1+n)∈(0,1] , FII,UAIC Curs8 IA2025/2026 21/41",narrative
87,IA_8.pdf_p22,"Diferente temporale vs. Programare dinamic˘a adaptiv˘a , ▶ TD nu are nevoie de model, ADP este bazat˘a pe model ▶ TD utilizeaz˘a doar succesorul observat pentru actualizare si nu toti , , succesorii ▶ TD converge mai lent, dar execut˘a calcule mai simple ▶ TD poate fi v˘azut ca o aproximare a ADP FII,UAIC Curs8 IA2025/2026 22/41",narrative
88,IA_8.pdf_p23,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 23/41",narrative
92,IA_8.pdf_p24,"ˆ Inv˘atarea pasiv˘a vs. ˆınv˘atarea activ˘a , , ▶ Agentul pasiv are o politic˘a fix˘a vs. agentul activ trebuie s˘a decid˘a actiunile , ▶ Agentul pasivˆınvat˘a (probabilit˘atile tranzitiilor si) utilit˘atile st˘arilor si , , , , , , alege actiunile optime , vs. Agentul activˆısi actualizeaz˘a politica pe m˘asur˘a ceˆınvat˘a , , ▶ scopul este s˘aˆınvete politica optim˘a , ▶ ˆıns˘a, functia utilitate nu este cunoscut˘a decˆat aproximativ , FII,UAIC Curs8 IA2025/2026 24/41",narrative
93,IA_8.pdf_p25,"Exploatare vs. explorare Dilema exploatare-explorare a agentului ▶ s˘aˆısi maximizeze utilitatea, pe baza cunostintelor curente, sau , , , ▶ s˘aˆısiˆımbun˘at˘ateasc˘a cunostintele , , , , Este necesar un compromisˆıntre ▶ exploatare ▶ agentul opresteˆınv˘atarea si execut˘a actiunile date de politic˘a , , , , ▶ explorare ▶ agentulˆınvat˘aˆıncercˆand actiuni noi , , FII,UAIC Curs8 IA2025/2026 25/41",narrative
94,IA_8.pdf_p26,"Dilema exploatare - explorare: solutii , Metoda ϵ-greedy ▶ Fie ϵ ∈ [0,1] ▶ Actiunea urm˘atoare selectat˘a va fi: , ▶ o actiune aleatoare, cu probabilitatea ϵ , ▶ actiunea optim˘a, cu probabilitatea 1−ϵ , ▶ Implementare ▶ initial ϵ=1 (explorare) , ▶ cˆand se termin˘a un episod deˆınv˘atare, ϵ scade (de ex.",narrative
95,IA_8.pdf_p26,"cu 0.05) - cre¸ste , progresiv rata de exploatare ▶ ϵ nu scade niciodat˘a sub un prag, de ex.",narrative
96,IA_8.pdf_p26,"0.1 ▶ agentul are mereu o¸sans˘a de explorare, pentru a evita optimele locale FII,UAIC Curs8 IA2025/2026 26/41",narrative
97,IA_8.pdf_p26,Dilema exploatare - explorare is solutii,diagram_extracted
98,IA_8.pdf_p27,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 27/41",narrative
102,IA_8.pdf_p28,"Algoritmul Q-Learning (Watkins, 1989) ▶ ˆInvat˘a o functie actiune-valoare Q(s,a) (Q quality).",narrative
103,IA_8.pdf_p28,", , , Q(s,a) valoarea asociat˘a realiz˘arii actiunii aˆın starea s. , Relatia dintre utilit˘ati si valorile Q: U(s) = max Q(s,a).",narrative
104,IA_8.pdf_p28,", , , a ▶ Ecuatiile adev˘arate la echilibru cˆand valorile Q sunt corecte , (cid:88) Q(s,a) = R(s)+γ P(s′|s,a)max Q(s′,a′) a′ s′ Acestea pot fi utilizateˆıntr-un proces iterativ care calculeaz˘a valorile Q exacte.",narrative
105,IA_8.pdf_p28,"FII,UAIC Curs8 IA2025/2026 28/41",narrative
106,IA_8.pdf_p28,"Relatia dintre utilit˘ati si valorile Q is U(s) = max Q(s,a).",diagram_extracted
108,IA_8.pdf_p29,"Algoritmul Q-Learning ▶ Un agent TD careˆınvat˘a o functie Q nu are nevoie de un model , , probabilist P(s′|s,a) (ˆınv˘atare f˘ar˘a model).",narrative
109,IA_8.pdf_p29,", ▶ Pentru fiecare esantion (s,a,s′,r), se actualizeaz˘a valoarea Q. , Ecuatia de actualizare pentru TD Q-Learning: , Q(s,a) = Q(s,a)+α(R(s)+γmax Q(s′,a′)−Q(s,a)) a′ (executˆand actiunea aˆın starea s rezult˘a s′) , Coeficientul deˆınv˘atare α determin˘a viteza de actualizare a , estim˘arilor; de obicei, α ∈ (0,1) FII,UAIC Curs8 IA2025/2026 29/41",narrative
110,IA_8.pdf_p30,"Algoritmul Q-Learning: pseudocod f functie de explorare , ▶ Q-learning converge la o politic˘a optim˘a ▶ Q-Learning este mai lent decˆat ADP FII,UAIC Curs8 IA2025/2026 30/41",narrative
111,IA_8.pdf_p30,Algoritmul Q-Learning is pseudocod,diagram_extracted
112,IA_8.pdf_p31,"Q-learning Exemplul 1 Q(C,Stop)=?,Q(C,Go)=?",narrative
113,IA_8.pdf_p31,"Exemplul 2 https://huggingface.co/learn/deep-rl-course/unit2/q-learning-example FII,UAIC Curs8 IA2025/2026 31/41",narrative
114,IA_8.pdf_p31,https is //huggingface.co/learn/deep-rl-course/unit2/q-learning-example,diagram_extracted
115,IA_8.pdf_p32,"SARSA ▶ Ecuatia de actualizare , Q(s,a) = Q(s,a)+α(R(s)+γQ(s′,a′)−Q(s,a)) (s′,a′) perechea (starea urm˘atoare, actiunea urm˘atoare) , SARSA utilizeaz˘a abordarea TD: se actualizeaz˘a tabelul Q dup˘a fiecare pas pˆan˘a cand solutia converge/nr.",narrative
116,IA_8.pdf_p32,", , ▶ Exemplu aplicatie: Windy Gridworld , http://www.incompleteideas.net/book/ebook/node64.html FII,UAIC Curs8 IA2025/2026 32/41",narrative
117,IA_8.pdf_p32,SARSA utilizeaz˘a abordarea TD is se actualizeaz˘a tabelul Q dup˘a,diagram_extracted
118,IA_8.pdf_p32,Exemplu aplicatie is Windy Gridworld,diagram_extracted
119,IA_8.pdf_p32,http is //www.incompleteideas.net/book/ebook/node64.html,diagram_extracted
120,IA_8.pdf_p33,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 33/41",narrative
124,IA_8.pdf_p34,"Deep Reinforcement Learning Utilizeaz˘a o retea neural˘a (profund˘a) pentru a aproxima valorile Q , ▶ intrare: o stare iesire: o estimare a lui Q, pentru fiecare actiune posibil˘a , , FII,UAIC Curs8 IA2025/2026 34/41",narrative
125,IA_8.pdf_p34,intrare is o stare,diagram_extracted
126,IA_8.pdf_p34,"iesire is o estimare a lui Q, pentru fiecare actiune posibil˘a",diagram_extracted
127,IA_8.pdf_p35,Deep Reinforcement Learning ▶ Consider˘am ec.,narrative
128,IA_8.pdf_p35,de actualizare a valorii Q (derivat˘a din ec.,narrative
129,IA_8.pdf_p35,"Bellman): Q(s,a) = Q(s,a)+α[r +γmax Q(s′,a′)−Q(s,a)] a′ = (1−α)Q(s,a)+α[r +γmax Q(s′,a′)] a′ ▶ Functia de cost: eroarea medie patratic˘a dintre valorea Q prezis˘a si , , valorea tint˘a Q∗ (nu se cunoaste).",narrative
130,IA_8.pdf_p35,", , Valoarea tint˘a: target(s′) = r +γmax Q(s′,a′) , a′ Minimiz˘am loss(s,a,s′) = (Q(s,a)−target(s′))2.",narrative
131,IA_8.pdf_p35,"▶ Utiliz˘am metoda Gradient descent pentru a optimiza functia de cost , Descriere: https://deeplearningmath.org/deep-reinforcement-learning.html Demo: https://cs.stanford.edu/people/karpathy/reinforcejs/ FII,UAIC Curs8 IA2025/2026 35/41",narrative
132,IA_8.pdf_p35,Functia de cost is eroarea medie patratic˘a dintre valorea Q prezis˘a si,diagram_extracted
133,IA_8.pdf_p35,"Valoarea tint˘a is target(s′) = r +γmax Q(s′,a′)",diagram_extracted
134,IA_8.pdf_p35,Descriere is https://deeplearningmath.org/deep-reinforcement-learning.html,diagram_extracted
135,IA_8.pdf_p35,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/,diagram_extracted
136,IA_8.pdf_p36,"Deep Q-learning Probleme: ▶ esantioanele sunt corelate → reteaua nu poate generaliza , , ▶ target(s′) este o estimare → convergent˘a lent˘a/alg.",narrative
137,IA_8.pdf_p36,"nu e stabil , Solutii: , ▶ ϵ-greedy policy ▶ experience replay: memor˘am experientele (s,a,r,s′) si le folosim , , pentru antrenare (mini-batch) FII,UAIC Curs8 IA2025/2026 36/41",narrative
138,IA_8.pdf_p36,experience replay is memor˘am experientele si le folosim,diagram_extracted
139,IA_8.pdf_p37,"Double Deep Q-network ▶ Valoarea tint˘a se modific˘a la fiecare iteratie; , , Solutie: o retea separat˘a pentru a estima valoarea tint˘a.",narrative
140,IA_8.pdf_p37,", , , ▶ la fiecare C iteratii, parametrii din reteaua de predictie sunt copiatiˆın , , , , reteaua tint˘a , , FII,UAIC Curs8 IA2025/2026 37/41",narrative
141,IA_8.pdf_p37,Solutie is o retea separat˘a pentru a estima valoarea tint˘a.,diagram_extracted
142,IA_8.pdf_p38,"Function approximation Uˆ (s) = θ f (s)+θ f (s)+...θ f (s) θ 1 1 2 2 n n f ,...f atribute 1 n ˆInvat˘a valorile parametrilor θ = θ ,...θ a.i.",narrative
143,IA_8.pdf_p38,"functia Uˆ aproximeaz˘a , 1 n , θ functia utilitate.",narrative
144,IA_8.pdf_p38,", ▶ actualizeaz˘a parametrii dup˘a fiecareˆıncercare ▶ Functie de eroare , E (s) = (Uˆ (s)−u (s))2/2 j θ j u (s) recompensa total˘a observat˘a din starea s pentruˆıncercarea j j Calcul˘am gradientiiˆın raport cu θ. , δE (s) δUˆ (s) θ ← θ −α j = θ +α(u (s)−Uˆ (s)) θ i i i j θ δθ δθ i i ▶ putere de generalizare (st˘ari vizitate → st˘ari nevizitate) FII,UAIC Curs8 IA2025/2026 38/41",narrative
145,IA_8.pdf_p39,"Con¸tinut Introducere ˆInv˘atarea pasiv˘a , Bazat˘a pe model: ADP (Adaptive Dynamic Programming) F˘ar˘a model: Estimarea direct˘a a utilit˘atii , F˘ar˘a model: ˆInv˘atarea diferentelor temporale , , ˆInv˘atarea activ˘a , Q-learning Deep Q-learning Concluzii FII,UAIC Curs8 IA2025/2026 39/41",narrative
149,IA_8.pdf_p40,"Concluzii ▶ ˆInv˘atarea cuˆınt˘arire este necesar˘a pentru agentii care evolueaz˘aˆın , , medii necunoscute ▶ ˆInv˘atarea pasiv˘a presupune evaluarea unei politici date , ▶ ˆInv˘atarea activ˘a presupuneˆınv˘atarea unei politici optime , , FII,UAIC Curs8 IA2025/2026 40/41",narrative
150,IA_8.pdf_p41,Bibliografie ▶ Artificial Intelligence: A modern Approach.,narrative
151,IA_8.pdf_p41,Reinforcement Learning ▶ Sutton&Barto.,narrative
152,IA_8.pdf_p41,"An introduction http://incompleteideas.net/book/RLbook2020.pdf FII,UAIC Curs8 IA2025/2026 41/41",narrative
153,IA_8.pdf_p41,Artificial Intelligence is A modern Approach. Ch. 21. Reinforcement,diagram_extracted
154,IA_8.pdf_p41,http is //incompleteideas.net/book/RLbook2020.pdf,diagram_extracted
155,IA_3.pdf_p1,"Artificial Intelligence 3rd year, 1st semester State based models for decision problems Week 3: informed strategies and alternative problem spaces “In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing.” Theodore Roosevelt",narrative
156,IA_3.pdf_p1,Week 3 is informed strategies and alternative problem spaces,diagram_extracted
157,IA_3.pdf_p2,Let’s find a NP-complete problem and a computer able to solve it Problem: finding a path in a graph Describing a model - reducing a problem • describe a state • identify special states and the problem space • describe the transitions and validate them • specify a search strategy,narrative
158,IA_3.pdf_p2,Problem is finding a path in a graph,diagram_extracted
159,IA_3.pdf_p3,Search strategies ● Uninformed - no distinction between states ○ Random ○ BFS and Uniform Cost ○ DFS and Iterative Deepening ○ Backtracking ○ Bidirectional ● Informed - heuristics to help distinguish between states ○ Greedy best-first ○ Hillclimbing and Simulated Annealing ○ Beam search ○ A* and IDA*,narrative
160,IA_3.pdf_p4,Common sense is as good as a mathematical proof.,narrative
161,IA_3.pdf_p4,Statistical proofs are hard to get and largely irrelevant.,narrative
162,IA_3.pdf_p4,"Brute force (search) is great, but intelligence is faster.",narrative
163,IA_3.pdf_p5,Finding a relevant heuristic A heuristic should direct the search towards the goal.,narrative
164,IA_3.pdf_p5,"Heuristic: function applied to any state, returns extreme and opposing values for all initial state(s) and for at least one final state(s).",narrative
165,IA_3.pdf_p5,"h: S -> [min, max], h(IS) = min/max, h(FS) = max/min",narrative
166,IA_3.pdf_p5,"Heuristic is function applied to any state, returns extreme and",diagram_extracted
